Time Step,True pos_z,Predicted pos_z,Error
1,0.21,0.21972686,-0.009726867
2,0.17,0.17959504,-0.0095950365
3,0.15,0.1387015,0.011298507
4,0.12,0.11796376,0.0020362362
5,0.09,0.08735358,0.0026464239
6,0.07,0.05666487,0.013335131
7,0.04,0.03515362,0.004846379
8,0.01,0.0027545355,0.0072454643
9,-0.01,-0.02138565,0.011385649
10,-0.05,-0.04334192,-0.006658081
11,-0.11,-0.089900374,-0.020099625
12,-0.17,-0.14820263,-0.021797374
13,-0.2,-0.20505607,0.0050560683
14,-0.23,-0.23298946,0.002989456
15,-0.26,-0.26159215,0.0015921593
16,-0.28,-0.29057264,0.010572642
17,-0.34,-0.30961773,-0.030382276
18,-0.37,-0.36878854,-0.0012114644
19,-0.4,-0.39747298,-0.0025270283
20,-0.42,-0.4275053,0.0075053275
21,-0.45,-0.44731215,-0.0026878417
22,-0.48,-0.4763644,-0.0036355853
23,-0.51,-0.50750744,-0.002492547
24,-0.54,-0.5360428,-0.003957212
25,-0.58,-0.56747144,-0.012528539
26,-0.6,-0.60766906,0.0076690316
27,-0.62,-0.62774557,0.007745564
28,-0.64,-0.6479513,0.007951319
29,-0.67,-0.66647243,-0.0035275817
30,-0.69,-0.69766486,0.0076648593
31,-0.71,-0.7178952,0.007895231
32,-0.73,-0.7379614,0.007961392
33,-0.77,-0.7578904,-0.012109578
34,-0.79,-0.7983811,0.008381069
35,-0.81,-0.81791407,0.007914066
36,-0.83,-0.8380359,0.008035898
37,-0.85,-0.85782033,0.007820308
38,-0.87,-0.877326,0.007326007
39,-0.89,-0.89485544,0.004855454
40,-0.91,-0.9177119,0.0077118874
41,-0.94,-0.9365969,-0.0034031272
42,-0.96,-0.96612126,0.006121278
43,-0.98,-0.9857569,0.005756855
44,-1.01,-1.005418,-0.0045820475
45,-1.03,-1.0351909,0.0051909685
46,-1.06,-1.0529526,-0.0070472956
47,-1.08,-1.085401,0.0054010153
48,-1.1,-1.1041415,0.00414145
49,-1.12,-1.1260043,0.0060043335
50,-1.15,-1.1463919,-0.0036081076
51,-1.18,-1.1765026,-0.0034973621
52,-1.21,-1.2059029,-0.004097104
53,-1.23,-1.2352751,0.0052751303
54,-1.25,-1.2545843,0.0045843124
55,-1.27,-1.2739215,0.003921509
56,-1.29,-1.2933215,0.0033215284
57,-1.31,-1.3127391,0.002739191
58,-1.33,-1.3320425,0.0020424128
59,-1.35,-1.351431,0.0014309883
60,-1.37,-1.3707722,0.0007722378
61,-1.39,-1.3902509,0.00025093555
62,-1.41,-1.4096143,-0.00038564205
63,-1.42,-1.4287033,0.008703351
64,-1.43,-1.4376798,0.00767982
65,-1.45,-1.4466771,-0.003322959
66,-1.46,-1.465733,0.005733013
67,-1.48,-1.4748906,-0.0051094294
68,-1.5,-1.493923,-0.006077051
69,-1.52,-1.5138102,-0.006189823
70,-1.52,-1.5317867,0.011786699
71,-1.53,-1.529023,-0.0009769201
72,-1.54,-1.5368257,-0.003174305
73,-1.54,-1.5454437,0.005443692
74,-1.55,-1.5444653,-0.005534649
75,-1.55,-1.5536779,0.0036779642
76,-1.56,-1.5527606,-0.0072393417
77,-1.56,-1.5616946,0.0016946793
78,-1.56,-1.560613,0.0006130934
79,-1.57,-1.5595199,-0.0104801655
80,-1.57,-1.568537,-0.0014630556
81,-1.57,-1.5675548,-0.002445221
82,-1.57,-1.5667242,-0.0032758713
83,-1.58,-1.5660288,-0.0139712095
84,-1.58,-1.5756574,-0.004342675
85,-1.58,-1.5752933,-0.0047067404
86,-1.58,-1.5751394,-0.0048606396
87,-1.58,-1.574811,-0.005189061
88,-1.57,-1.5747741,0.0047740936
89,-1.57,-1.5655208,-0.004479289
90,-1.57,-1.565848,-0.0041520596
91,-1.56,-1.5632569,0.003256917
92,-1.56,-1.5547594,-0.0052405596
93,-1.56,-1.5553837,-0.0046162605
94,-1.55,-1.5583141,0.008314133
95,-1.55,-1.5463235,-0.0036764145
96,-1.53,-1.5458329,0.015832901
97,-1.53,-1.524857,-0.005142927
98,-1.52,-1.526245,0.006245017
99,-1.51,-1.5140257,0.0040256977
100,-1.5,-1.5028279,0.0028278828
101,-1.49,-1.4915231,0.0015231371
102,-1.47,-1.4805217,0.01052165
103,-1.45,-1.4585339,0.008533835
104,-1.44,-1.4363799,-0.0036201477
105,-1.42,-1.4269018,0.0069018602
106,-1.41,-1.4074739,-0.0025260448
107,-1.4,-1.3943077,-0.0056922436
108,-1.38,-1.3844635,0.0044635534
109,-1.37,-1.363964,-0.006036043
110,-1.36,-1.3542567,-0.005743265
111,-1.34,-1.3422718,0.0022717714
112,-1.32,-1.3220423,0.0020422935
113,-1.3,-1.3041531,0.0041531324
114,-1.28,-1.2825907,0.0025907755
115,-1.27,-1.2616817,-0.008318305
116,-1.25,-1.2509199,0.0009199381
117,-1.19,-1.2328578,0.042857766
118,-1.16,-1.1693913,0.009391308
119,-1.13,-1.1389518,0.008951783
120,-1.12,-1.1094594,-0.010540605
121,-1.09,-1.0993397,0.00933969
122,-1.07,-1.0679895,-0.0020105839
123,-1.05,-1.0481024,-0.0018975735
124,-1.03,-1.0341108,0.004110813
125,-1.01,-1.008538,-0.0014619827
126,-0.99,-0.98714226,-0.0028577447
127,-0.97,-0.96819216,-0.0018078685
128,-0.93,-0.94782597,0.017825961
129,-0.91,-0.9077769,-0.002223134
130,-0.89,-0.88784343,-0.0021565557
131,-0.85,-0.8663632,0.016363204
132,-0.83,-0.8272147,-0.0027852654
133,-0.8,-0.8073504,0.007350385
134,-0.75,-0.77731174,0.027311742
135,-0.7,-0.7256329,0.025632918
136,-0.67,-0.67490345,0.0049034357
137,-0.65,-0.6445242,-0.0054757595
138,-0.61,-0.62403667,0.014036655
139,-0.58,-0.58369625,0.0036962628
140,-0.56,-0.55331266,-0.006687343
141,-0.5,-0.5329577,0.032957673
142,-0.48,-0.47244412,-0.007555872
143,-0.45,-0.45199132,0.0019913316
144,-0.43,-0.42160404,-0.00839597
145,-0.41,-0.40120214,-0.008797854
146,-0.38,-0.3807393,0.0007393062
147,-0.34,-0.35016802,0.010168016
148,-0.32,-0.3096175,-0.010382503
149,-0.3,-0.28917587,-0.010824144
150,-0.26,-0.26888663,0.008886635
151,-0.23,-0.22602628,-0.0039737225
152,-0.2,-0.19343096,-0.006569043
153,-0.17,-0.16501628,-0.004983723
154,-0.14,-0.13572024,-0.0042797625
155,-0.12,-0.10618624,-0.013813756
156,-0.08,-0.08907313,0.009073131
157,-0.05,-0.052203357,0.0022033565
158,-0.01,-0.024078986,0.014078986
159,0.01,0.013844557,-0.0038445573
160,0.04,0.029725073,0.010274926
161,0.06,0.05873993,0.0012600683
162,0.09,0.08120628,0.008793727
163,0.11,0.116443045,-0.006443046
164,0.13,0.13933791,-0.009337917
165,0.16,0.16131575,-0.0013157576
166,0.2,0.19293875,0.007061258
167,0.23,0.23429388,-0.004293874
168,0.26,0.2650877,-0.0050877035
