Time Step,True pos_x,Predicted pos_x,Error
1,1.63,1.6311619,-0.001161933
2,1.63,1.6315079,-0.0015078783
3,1.63,1.6318935,-0.0018935204
4,1.63,1.6317469,-0.0017468929
5,1.63,1.630927,-0.00092697144
6,1.63,1.6298299,0.00017011166
7,1.63,1.6316202,-0.0016201735
8,1.63,1.6303751,-0.00037515163
9,1.63,1.6297617,0.00023829937
10,1.63,1.6316745,-0.0016745329
11,1.64,1.6316779,0.00832212
12,1.64,1.6419402,-0.0019402504
13,1.64,1.6417558,-0.0017558336
14,1.65,1.6412829,0.00871706
15,1.65,1.6505545,-0.0005545616
16,1.65,1.6497259,0.00027406216
17,1.65,1.6490707,0.0009292364
18,1.64,1.6484473,-0.0084472895
19,1.64,1.6378837,0.0021163225
20,1.64,1.6372706,0.002729416
21,1.63,1.636324,-0.006324053
22,1.63,1.62576,0.004240036
23,1.62,1.6248522,-0.0048521757
24,1.61,1.6139762,-0.003976226
25,1.61,1.603063,0.006937027
26,1.6,1.60228,-0.0022799969
27,1.59,1.5915916,-0.0015915632
28,1.58,1.5807278,-0.0007277727
29,1.57,1.5700206,-2.0503998e-05
30,1.56,1.5592006,0.0007992983
31,1.55,1.5483778,0.0016222
32,1.54,1.5376137,0.0023862123
33,1.53,1.5267764,0.0032235384
34,1.51,1.5152857,-0.00528574
35,1.5,1.493594,0.0064059496
36,1.48,1.4825121,-0.0025120974
37,1.47,1.461651,0.008349061
38,1.45,1.451042,-0.0010420084
39,1.44,1.4307535,0.009246588
40,1.42,1.4203215,-0.00032150745
41,1.39,1.4000373,-0.010037303
42,1.38,1.3698423,0.010157704
43,1.35,1.3596246,-0.0096246
44,1.34,1.3293852,0.010614872
45,1.32,1.3192219,0.00077819824
46,1.3,1.299951,4.8995018e-05
47,1.29,1.2803043,0.009695649
48,1.27,1.2708596,-0.0008596182
49,1.25,1.2510016,-0.0010015965
50,1.23,1.2307009,-0.0007008314
51,1.2,1.2104158,-0.010415792
52,1.19,1.1801505,0.009849548
53,1.17,1.1698952,0.000104784966
54,1.16,1.1496603,0.010339618
55,1.14,1.1393714,0.0006285906
56,1.12,1.1191514,0.00084865093
57,1.1,1.0989096,0.0010904074
58,1.08,1.0786434,0.0013566017
59,1.07,1.0583668,0.011633277
60,1.05,1.0480585,0.0019414425
61,1.03,1.0277034,0.002296567
62,1.01,1.0073609,0.0026390553
63,1.0,0.98717,0.012830019
64,0.98,0.97709864,0.0029013753
65,0.96,0.95709026,0.00290972
66,0.93,0.9370851,-0.007085085
67,0.89,0.9069738,-0.016973794
68,0.86,0.8667133,-0.006713271
69,0.84,0.8358293,0.004170656
70,0.82,0.81521845,0.004781544
71,0.8,0.7944082,0.0055918097
72,0.78,0.7735545,0.0064454675
73,0.75,0.7526208,-0.0026208162
74,0.72,0.72174156,-0.0017415285
75,0.7,0.6910136,0.0089864135
76,0.68,0.67069757,0.009302437
77,0.64,0.65071255,-0.010712564
78,0.61,0.6104785,-0.0004785061
79,0.57,0.5799811,-0.009981096
80,0.55,0.5395336,0.010466397
81,0.51,0.5192682,-0.009268224
