Time Step,True pos_y,Predicted pos_y,Error
1,0.18,0.1801684,-0.00016839802
2,0.18,0.18013813,-0.00013811886
3,0.18,0.17994015,5.9857965e-05
4,0.18,0.17889959,0.001100421
5,0.18,0.17609408,0.0039059222
6,0.18,0.17251575,0.007484257
7,0.17,0.1701833,-0.00018329918
8,0.17,0.17044748,-0.00044748187
9,0.17,0.17045522,-0.00045521557
10,0.17,0.16994327,5.672872e-05
11,0.17,0.17007327,-7.326901e-05
12,0.17,0.1701134,-0.00011339784
13,0.17,0.17007747,-7.747114e-05
14,0.17,0.1700611,-6.109476e-05
15,0.17,0.17004451,-4.450977e-05
16,0.17,0.17003015,-3.014505e-05
17,0.17,0.17003062,-3.0621886e-05
18,0.17,0.17004006,-4.005432e-05
19,0.17,0.1700529,-5.2899122e-05
20,0.17,0.17006499,-6.4983964e-05
21,0.17,0.1700581,-5.8099627e-05
22,0.17,0.17007627,-7.626414e-05
23,0.17,0.17006272,-6.271899e-05
24,0.17,0.17006177,-6.176531e-05
25,0.17,0.17005724,-5.723536e-05
26,0.17,0.17005485,-5.4851174e-05
27,0.17,0.17005458,-5.4582953e-05
28,0.17,0.17003995,-3.9950013e-05
29,0.17,0.17004427,-4.427135e-05
30,0.17,0.17005001,-5.0008297e-05
31,0.17,0.17005265,-5.2645802e-05
32,0.17,0.17005152,-5.1513314e-05
33,0.17,0.17005561,-5.5611134e-05
34,0.17,0.1700534,-5.339086e-05
35,0.17,0.17005444,-5.4433942e-05
36,0.17,0.17006746,-6.745756e-05
37,0.17,0.17009373,-9.3728304e-05
38,0.17,0.17007291,-7.291138e-05
39,0.17,0.17008974,-8.973479e-05
40,0.17,0.17009148,-9.147823e-05
41,0.17,0.17009282,-9.281933e-05
42,0.17,0.17009793,-9.793043e-05
43,0.17,0.17010826,-0.000108256936
44,0.17,0.17011626,-0.00011625886
45,0.17,0.17007881,-7.881224e-05
46,0.17,0.17008409,-8.408725e-05
47,0.17,0.1700506,-5.0604343e-05
48,0.17,0.17003514,-3.5136938e-05
49,0.17,0.17003466,-3.46601e-05
50,0.17,0.17003761,-3.761053e-05
51,0.17,0.17002621,-2.6211143e-05
52,0.17,0.17003536,-3.5360456e-05
53,0.17,0.17003953,-3.953278e-05
54,0.17,0.17003654,-3.6537647e-05
55,0.17,0.1700315,-3.1501055e-05
56,0.17,0.17002755,-2.7552247e-05
57,0.17,0.17002209,-2.208352e-05
58,0.17,0.17002058,-2.0578504e-05
59,0.17,0.17003043,-3.0428171e-05
60,0.17,0.17004235,-4.23491e-05
61,0.17,0.17004831,-4.8309565e-05
62,0.17,0.17004225,-4.2244792e-05
63,0.17,0.17003857,-3.8564205e-05
64,0.17,0.17003785,-3.784895e-05
65,0.17,0.1700391,-3.9100647e-05
66,0.17,0.17003897,-3.8966537e-05
67,0.17,0.170034,-3.400445e-05
68,0.17,0.17003009,-3.0085444e-05
69,0.17,0.16999596,4.0382147e-06
70,0.17,0.16997758,2.2426248e-05
71,0.17,0.16999651,3.4868717e-06
72,0.17,0.1700187,-1.8700957e-05
73,0.17,0.17001721,-1.7210841e-05
74,0.17,0.17000291,-2.9057264e-06
75,0.17,0.1699942,5.7965517e-06
76,0.17,0.16998117,1.8835068e-05
77,0.17,0.1699737,2.630055e-05
78,0.17,0.16997646,2.3543835e-05
79,0.17,0.16997448,2.552569e-05
80,0.17,0.1699696,3.0398369e-05
81,0.17,0.16996254,3.746152e-05
82,0.17,0.16996369,3.631413e-05
83,0.17,0.16996928,3.0726194e-05
84,0.17,0.16997431,2.5689602e-05
85,0.17,0.17000258,-2.577901e-06
86,0.17,0.17004396,-4.3958426e-05
87,0.17,0.17010048,-0.00010047853
88,0.17,0.17036965,-0.0003696531
89,0.18,0.17309405,0.006905958
90,0.18,0.17959999,0.00040002167
91,0.18,0.18001671,-1.6704202e-05
92,0.18,0.17995298,4.7028065e-05
93,0.18,0.18005252,-5.2511692e-05
94,0.18,0.18010707,-0.00010706484
95,0.18,0.18004818,-4.8175454e-05
96,0.18,0.17999364,6.362796e-06
97,0.18,0.18005398,-5.3972006e-05
98,0.18,0.1800779,-7.788837e-05
99,0.18,0.18008877,-8.876622e-05
100,0.18,0.18009341,-9.340048e-05
101,0.18,0.18007103,-7.1018934e-05
102,0.18,0.18008578,-8.5771084e-05
