Time Step,True rot_0,Predicted rot_0,Error
1,-0.01,-0.009119641,-0.00088035874
2,-0.01,-0.009401266,-0.0005987333
3,-0.01,-0.009755355,-0.00024464447
4,-0.01,-0.009371836,-0.00062816404
5,-0.01,-0.009322055,-0.0006779451
6,-0.01,-0.010202062,0.00020206254
7,-0.01,-0.010690657,0.00069065765
8,-0.01,-0.0093646385,-0.0006353613
9,-0.01,-0.010202956,0.00020295661
10,-0.01,-0.00866596,-0.0013340395
11,-0.01,-0.0096338475,-0.00036615226
12,-0.01,-0.010180816,0.00018081628
13,-0.01,-0.010552866,0.0005528666
14,-0.01,-0.011158454,0.0011584545
15,-0.01,-0.011356238,0.0013562385
16,-0.01,-0.011045829,0.0010458296
17,-0.01,-0.011468743,0.0014687432
18,-0.01,-0.010748008,0.0007480085
19,-0.01,-0.010416968,0.00041696802
20,-0.01,-0.010378507,0.0003785072
21,-0.01,-0.009578944,-0.0004210556
22,-0.01,-0.01096821,0.0009682104
23,-0.01,-0.010063807,6.380677e-05
24,-0.01,-0.010450074,0.00045007467
25,-0.01,-0.010728534,0.00072853453
26,-0.01,-0.010862222,0.00086222216
27,-0.02,-0.010934299,-0.009065701
28,-0.02,-0.018976957,-0.001023043
29,-0.02,-0.019078787,-0.00092121214
30,-0.02,-0.019210123,-0.000789877
31,-0.02,-0.01933111,-0.0006688889
32,-0.01,-0.019409664,0.009409664
33,-0.01,-0.011599022,0.0015990222
34,-0.01,-0.011837224,0.0018372238
35,-0.01,-0.011781025,0.001781025
36,-0.01,-0.011626445,0.001626445
37,-0.02,-0.011278234,-0.008721765
38,-0.01,-0.018879741,0.008879742
39,-0.01,-0.010821115,0.00082111545
40,-0.01,-0.011121525,0.0011215257
41,-0.01,-0.01132522,0.0013252199
42,-0.01,-0.011359149,0.0013591489
43,-0.01,-0.011454729,0.0014547296
44,-0.02,-0.011488669,-0.008511331
45,-0.01,-0.019354587,0.009354588
46,-0.02,-0.011978116,-0.008021884
47,-0.02,-0.019494671,-0.0005053282
48,-0.02,-0.019336207,-0.0006637927
49,-0.02,-0.019410497,-0.000589503
50,-0.02,-0.019540906,-0.0004590936
51,-0.02,-0.019465309,-0.0005346909
52,-0.02,-0.019369137,-0.000630863
53,-0.02,-0.019373568,-0.0006264318
54,-0.02,-0.01938035,-0.0006196499
55,-0.02,-0.019454839,-0.00054516084
56,-0.02,-0.019488081,-0.0005119182
57,-0.02,-0.019510938,-0.0004890617
58,-0.02,-0.019511025,-0.00048897415
59,-0.02,-0.019649714,-0.00035028532
60,-0.02,-0.019951805,-4.819408e-05
61,-0.02,-0.020193331,0.00019333139
62,-0.02,-0.020328065,0.00032806583
63,-0.02,-0.020278636,0.0002786368
64,-0.02,-0.020191712,0.00019171275
65,-0.02,-0.02007686,7.686019e-05
66,-0.02,-0.01999651,-3.4887344e-06
67,-0.02,-0.020001778,1.7788261e-06
68,-0.02,-0.01930411,-0.0006958898
69,-0.02,-0.019734135,-0.00026586466
70,-0.02,-0.020147977,0.00014797784
71,-0.02,-0.020158648,0.00015864894
72,-0.02,-0.019870538,-0.00012946129
73,-0.02,-0.019699367,-0.0003006328
74,-0.02,-0.019813064,-0.00018693507
75,-0.02,-0.019964907,-3.5092235e-05
76,-0.02,-0.02001477,1.4770776e-05
77,-0.02,-0.019955976,-4.4023618e-05
78,-0.02,-0.019838504,-0.00016149506
79,-0.02,-0.019756947,-0.00024305284
80,-0.02,-0.01963713,-0.00036286935
81,-0.02,-0.019556567,-0.00044343248
82,-0.02,-0.019465307,-0.0005346928
83,-0.02,-0.019386306,-0.00061369315
84,-0.02,-0.019297676,-0.0007023234
85,-0.02,-0.019247029,-0.0007529706
86,-0.02,-0.019120546,-0.0008794535
87,-0.02,-0.019036055,-0.00096394494
88,-0.02,-0.019312866,-0.0006871335
89,-0.02,-0.019325396,-0.0006746035
90,-0.02,-0.01988133,-0.00011866912
91,-0.02,-0.019145494,-0.0008545052
92,-0.02,-0.019442862,-0.00055713765
93,-0.02,-0.01880464,-0.00119536
94,-0.02,-0.018772762,-0.0012272373
95,-0.02,-0.019070502,-0.0009294972
96,-0.02,-0.02012329,0.00012329035
97,-0.02,-0.019522827,-0.00047717243
98,-0.02,-0.019955944,-4.4055283e-05
99,-0.02,-0.020222243,0.00022224337
100,-0.01,-0.02018574,0.010185741
101,-0.01,-0.01270409,0.0027040904
102,-0.02,-0.012857489,-0.0071425103
103,-0.02,-0.020030573,3.0573457e-05
104,-0.01,-0.01967183,0.00967183
105,-0.02,-0.012408932,-0.007591068
106,-0.02,-0.019953191,-4.6808273e-05
107,-0.02,-0.01959437,-0.0004056301
108,-0.01,-0.019502282,0.009502282
109,-0.01,-0.01219441,0.0021944102
110,-0.02,-0.012308516,-0.007691484
111,-0.02,-0.019906368,-9.3631446e-05
112,-0.02,-0.018413387,-0.0015866123
113,-0.01,-0.01840633,0.00840633
114,-0.02,-0.011395313,-0.008604687
115,-0.01,-0.019509682,0.009509683
116,-0.01,-0.010910029,0.0009100288
117,-0.01,-0.011319201,0.0013192017
118,-0.01,-0.011393491,0.0013934914
119,-0.01,-0.01129281,0.0012928098
120,-0.02,-0.011138823,-0.008861177
121,-0.02,-0.016448423,-0.0035515763
122,-0.02,-0.01507183,-0.00492817
123,-0.02,-0.017284973,-0.002715027
124,-0.02,-0.017784657,-0.0022153426
125,-0.02,-0.017900877,-0.0020991229
126,-0.02,-0.01850765,-0.0014923494
127,-0.02,-0.018690955,-0.0013090447
128,-0.02,-0.01862435,-0.0013756491
129,-0.01,-0.018591594,0.008591594
130,-0.02,-0.011985875,-0.008014125
131,-0.02,-0.018588366,-0.0014116336
132,-0.02,-0.018074786,-0.0019252133
133,-0.01,-0.017824905,0.007824905
134,-0.01,-0.011296119,0.0012961188
135,-0.01,-0.0112152295,0.0012152297
136,-0.01,-0.011032056,0.0010320563
