Time Step,True pos_x,Predicted pos_x,Error
1,0.017575614,0.017042812,0.0005328022
2,0.0163576,0.014967703,0.0013898974
3,0.0145825315,0.013142279,0.0014402522
4,0.013030944,0.010800319,0.0022306256
5,0.011627529,0.015750613,-0.0041230842
6,0.010465432,0.011532457,-0.0010670247
7,0.009275157,0.010490743,-0.0012155864
8,0.008527412,0.009836027,-0.0013086153
9,0.0076877144,0.008201057,-0.0005133427
10,0.006971255,0.00688164,8.961512e-05
11,0.0061062668,0.005162457,0.00094380975
12,0.005226876,0.003700577,0.0015262992
13,0.0043248204,0.0024129623,0.0019118581
14,0.0034260037,0.0015733531,0.0018526507
15,0.0014607254,0.0007336044,0.000727121
16,0.00070537534,-0.0011369463,0.0018423216
17,0.00012860354,-0.0018153104,0.001943914
18,-0.0008746125,-0.0023284121,0.0014537997
19,-0.0019021672,-0.0033394813,0.0014373141
20,-0.002877093,-0.004405562,0.0015284689
21,-0.0043524913,-0.0054055844,0.001053093
22,-0.0055897115,-0.006903646,0.0013139346
23,-0.006660533,-0.008147651,0.0014871182
24,-0.007898848,-0.009196098,0.0012972504
25,-0.0084297005,-0.010436617,0.0020069163
26,-0.009939744,-0.010914962,0.00097521767
27,-0.011159258,-0.012367826,0.001208568
28,-0.012084575,-0.013559068,0.0014744923
29,-0.012854302,-0.0144446585,0.0015903562
30,-0.013336542,-0.015193791,0.0018572491
31,-0.013970734,-0.01564701,0.0016762773
32,-0.0139875235,-0.016282767,0.0022952436
33,-0.014283314,-0.016246311,0.001962997
34,-0.014906185,-0.016514841,0.0016086567
35,-0.015020356,-0.017179925,0.0021595694
36,-0.015504784,-0.017333746,0.001828962
37,-0.015198259,-0.01792334,0.0027250815
38,-0.015572133,-0.017691378,0.002119245
39,-0.015468714,-0.018165635,0.0026969211
40,-0.015272837,-0.018149983,0.002877146
41,-0.01427992,-0.018021194,0.0037412746
42,-0.013352812,-0.017077586,0.0037247734
43,-0.012837692,-0.01618497,0.0033472786
44,-0.013056472,-0.015700404,0.0026439317
45,-0.012656994,-0.015989924,0.0033329297
46,-0.012447895,-0.015659427,0.0032115327
47,-0.011846732,-0.01552559,0.0036788573
48,-0.011367727,-0.015003084,0.0036353571
49,-0.010665321,-0.014596459,0.0039311387
50,-0.0104396185,-0.01402838,0.0035887612
51,-0.00854767,-0.014121721,0.0055740504
52,-0.008526012,-0.012926845,0.0044008326
53,-0.007576963,-0.014261616,0.0066846535
54,0.17010443,0.0409766,0.12912783
55,0.1700867,0.16879989,0.0012868047
56,0.1702177,0.16889895,0.0013187379
57,0.17042875,0.16878507,0.0016436875
58,0.1707209,0.16997729,0.00074361265
59,0.17107439,0.17127675,-0.00020235777
60,0.17150602,0.1726117,-0.0011056811
61,0.17230614,0.17374945,-0.0014433116
62,0.17311862,0.17480336,-0.0016847402
63,0.1740791,0.17565708,-0.0015779734
64,0.17526421,0.1765493,-0.001285091
65,0.17638259,0.17759605,-0.0012134612
66,0.1774365,0.17851809,-0.0010815859
67,0.17871793,0.1793573,-0.000639379
68,0.18014196,0.1804395,-0.0002975464
69,0.18215029,0.18166569,0.00048460066
70,0.18436992,0.18349119,0.0008787364
71,0.18644305,0.1855579,0.0008851439
72,0.18817408,0.18743657,0.0007375181
73,0.1908248,0.18903959,0.0017852187
74,0.19279444,0.19175333,0.0010411143
