Time Step,True pos_y,Predicted pos_y,Error
1,0.18619439,0.18639071,-0.0001963228
2,0.18619207,0.18635833,-0.00016626716
3,0.1863168,0.18649651,-0.000179708
4,0.18644571,0.18724471,-0.00079900026
5,0.18662812,0.18680272,-0.0001745969
6,0.18650985,0.18676707,-0.00025722384
7,0.18656904,0.18652457,4.4465065e-05
8,0.18670024,0.18661027,8.997321e-05
9,0.18662849,0.18684436,-0.00021587312
10,0.18650492,0.18682514,-0.00032022595
11,0.18657015,0.18664508,-7.492304e-05
12,0.18650484,0.18663713,-0.00013229251
13,0.18636926,0.18656947,-0.000200212
14,0.18654703,0.18644652,0.00010050833
15,0.18648607,0.18663359,-0.0001475215
16,0.18674292,0.18659279,0.0001501292
17,0.18692549,0.1868658,5.967915e-05
18,0.18684979,0.18706514,-0.00021535158
19,0.18690634,0.18700509,-9.8749995e-05
20,0.18683001,0.18707578,-0.00024576485
21,0.18713626,0.18700972,0.00012654066
22,0.18722916,0.18732126,-9.210408e-05
23,0.18722178,0.18742704,-0.0002052635
24,0.18721132,0.18743122,-0.00021989644
25,0.18766405,0.1874263,0.00023774803
26,0.1873915,0.18788587,-0.0004943609
27,0.18771411,0.1876197,9.441376e-05
28,0.18758166,0.1879407,-0.00035904348
29,0.18795612,0.18781374,0.0001423806
30,0.18760616,0.18818219,-0.0005760342
31,0.18805897,0.18783598,0.00022299588
32,0.18815705,0.18827616,-0.00011910498
33,0.1883681,0.18837851,-1.0415912e-05
34,0.18868148,0.18857825,0.000103235245
35,0.18829158,0.1888866,-0.00059501827
36,0.18876101,0.18849653,0.0002644807
37,0.18866386,0.18894808,-0.00028422475
38,0.18861075,0.18884888,-0.00023813546
39,0.18896358,0.18878217,0.00018140674
40,0.18895969,0.18912512,-0.00016543269
41,0.18894519,0.18911183,-0.00016663969
42,0.18934797,0.18908973,0.00025823712
43,0.18893284,0.18948069,-0.0005478561
44,0.18927446,0.18906562,0.00020883977
45,0.18960954,0.18939345,0.00021609664
46,0.18953711,0.18972865,-0.00019153953
47,0.18948555,0.18965149,-0.00016593933
48,0.18973067,0.18959765,0.00013302267
49,0.18969287,0.18983969,-0.00014682114
50,0.18960035,0.1898107,-0.00021034479
51,0.18966278,0.18973401,-7.122755e-05
52,0.18957815,0.18986513,-0.00028698146
53,0.18966576,0.18999217,-0.00032640994
54,0.19112435,0.19761577,-0.0064914227
55,0.19112977,0.19206797,-0.000938192
56,0.1911123,0.19104394,6.835163e-05
57,0.19120535,0.19119975,5.6028366e-06
58,0.19130589,0.19108775,0.0002181381
59,0.19135328,0.19129759,5.568564e-05
60,0.19141611,0.1913784,3.771484e-05
61,0.19154692,0.19150527,4.1648746e-05
62,0.19155543,0.19165534,-9.9912286e-05
63,0.19163983,0.19167238,-3.2559037e-05
64,0.19160572,0.19175641,-0.00015069544
65,0.19171974,0.19172364,-3.9041042e-06
66,0.19192746,0.1918357,9.176135e-05
67,0.1920757,0.19204007,3.5628676e-05
68,0.19201279,0.19218342,-0.0001706332
69,0.19202353,0.19211379,-9.025633e-05
70,0.19220352,0.1921174,8.612871e-05
71,0.19204982,0.19229098,-0.0002411604
72,0.19210029,0.19213599,-3.5703182e-05
73,0.19194268,0.19219093,-0.00024825335
74,0.1915125,0.19204026,-0.0005277693
75,0.1914692,0.19161539,-0.00014618039
76,0.19138347,0.19157815,-0.00019468367
77,0.19148375,0.19149573,-1.1980534e-05
78,0.19151671,0.19159861,-8.189678e-05
79,0.19177012,0.1916324,0.00013771653
80,0.19134521,0.19188371,-0.00053849816
81,0.19132291,0.19145523,-0.00013232231
82,0.19110216,0.19142585,-0.00032368302
83,0.19105056,0.19119784,-0.00014728308
84,0.19130254,0.1911367,0.00016583502
