Time Step,True pos_z,Predicted pos_z,Error
1,1.3573248,1.3562,0.0011248589
2,1.3793961,1.3775827,0.0018134117
3,1.4003158,1.3997518,0.00056397915
4,1.4198717,1.4572374,-0.037365675
5,1.4411149,1.4816823,-0.040567398
6,1.4553137,1.4549636,0.00035011768
7,1.4739957,1.4731437,0.0008519888
8,1.4870229,1.4928834,-0.005860567
9,1.5021824,1.5042101,-0.00202775
10,1.5173343,1.5169437,0.00039064884
11,1.5325334,1.5313022,0.0012311935
12,1.5481706,1.5470781,0.0010924339
13,1.5643847,1.5646112,-0.00022649765
14,1.5839554,1.5836023,0.00035309792
15,1.6163094,1.6057384,0.010571003
16,1.6349877,1.6405079,-0.0055202246
17,1.654421,1.6614131,-0.0069921017
18,1.6746893,1.6829064,-0.008217096
19,1.695634,1.7050138,-0.0093797445
20,1.7180363,1.7276632,-0.009626865
21,1.741315,1.7516052,-0.010290146
22,1.7651007,1.776398,-0.011297226
23,1.7900631,1.8018066,-0.011743426
24,1.815841,1.8283428,-0.012501836
25,1.8423018,1.8552886,-0.012986779
26,1.8701475,1.8828809,-0.0127334595
27,1.8983532,1.9116076,-0.013254404
28,1.9276849,1.9404908,-0.012805939
29,1.9576151,1.9704278,-0.012812614
30,1.9884014,2.000716,-0.012314558
31,2.0194345,2.0318172,-0.012382746
32,2.0560312,2.0629005,-0.006869316
33,2.082699,2.0996456,-0.016946554
34,2.1148088,2.1261303,-0.011321545
35,2.147347,2.1578763,-0.01052928
36,2.1795726,2.190049,-0.010476351
37,2.2119377,2.2215471,-0.009609461
38,2.2443085,2.253246,-0.008937597
39,2.2766488,2.2846522,-0.008003473
40,2.31368,2.316006,-0.0023260117
41,2.3402588,2.3519025,-0.011643648
42,2.371438,2.377315,-0.005877018
43,2.407244,2.4072018,4.220009e-05
44,2.4323988,2.441711,-0.009312153
45,2.4662004,2.465389,0.0008113384
46,2.4946692,2.497711,-0.0030417442
47,2.5221794,2.5245504,-0.0023710728
48,2.548918,2.5504007,-0.0014827251
49,2.5744543,2.5754328,-0.0009784698
50,2.5991333,2.599217,-8.368492e-05
51,2.622186,2.6221278,5.8174133e-05
52,2.6442919,2.644145,0.00014686584
53,2.6684191,2.676496,-0.008076906
54,3.2034974,3.0347965,0.16870093
55,3.2034266,3.2089548,-0.0055282116
56,3.2017312,3.2071178,-0.005386591
57,3.2001762,3.2032416,-0.0030653477
58,3.197452,3.2013743,-0.003922224
59,3.194214,3.1943972,-0.00018310547
60,3.190799,3.1879947,0.0028042793
61,3.1846435,3.1814618,0.003181696
62,3.1778996,3.1729405,0.0049591064
63,3.1698515,3.1645858,0.0052657127
64,3.1602871,3.154847,0.005440235
65,3.149355,3.1432652,0.0060896873
66,3.1371913,3.130063,0.0071282387
67,3.1236663,3.115512,0.008154392
68,3.1087325,3.0996094,0.009123087
69,3.0924268,3.082388,0.010038853
70,3.0745215,3.0640652,0.010456324
71,3.0549242,3.0443993,0.010524988
72,3.0340693,3.0230076,0.011061668
73,3.0118687,3.0005476,0.011321068
74,2.987944,2.9773633,0.01058054
75,2.937026,2.9526248,-0.015598774
76,2.90994,2.9008186,0.009121418
77,2.8820317,2.8728323,0.009199381
78,2.852925,2.844062,0.008862972
79,2.823071,2.81418,0.008891106
80,2.7927804,2.7836363,0.009144068
81,2.7614977,2.7527313,0.008766413
82,2.7245343,2.7209115,0.0036227703
83,2.6976123,2.6835766,0.014035702
84,2.6649973,2.6564696,0.008527756
85,2.6320794,2.6238763,0.00820303
86,2.5994635,2.591173,0.008290529
87,2.565963,2.5589182,0.007044792
88,2.5330853,2.5259094,0.0071759224
89,2.5001836,2.4936743,0.006509304
90,2.4671435,2.4615588,0.005584717
91,2.4344103,2.4294226,0.0049877167
92,2.4020545,2.3977141,0.00434041
93,2.370365,2.3664682,0.0038967133
94,2.3393962,2.335937,0.0034592152
95,2.3093753,2.3062377,0.0031375885
96,2.2799015,2.2776542,0.0022473335
97,2.251256,2.249789,0.0014669895
98,2.2235308,2.2228677,0.00066304207
99,2.1967523,2.1970057,-0.00025343895
100,2.1706545,2.1722708,-0.0016162395
101,2.1417162,2.1483557,-0.0066394806
102,2.1220005,2.1215541,0.00044631958
103,2.0998688,2.103248,-0.0033791065
104,2.0790908,2.0772471,0.0018436909
105,2.0594316,2.0463705,0.013061047
106,2.0407362,2.0412905,-0.0005543232
107,2.020269,2.0305803,-0.010311365
108,2.0061324,2.0119407,-0.0058083534
109,1.9897058,1.994888,-0.005182147
110,1.9711565,1.9738141,-0.002657652
111,1.9550874,1.9508656,0.004221797
112,1.9387267,1.9321165,0.006610155
113,1.9218546,1.9133343,0.008520365
114,1.9044122,1.8946683,0.00974381
115,1.8861359,1.8760442,0.010091782
116,1.8638483,1.8569819,0.006866455
117,1.8474147,1.8340262,0.0133885145
118,1.8268906,1.8168352,0.010055423
119,1.8053998,1.7951999,0.010199904
120,1.779062,1.7720876,0.0069744587
121,1.751416,1.7435778,0.00783813
122,1.7349529,1.713373,0.02157998
123,1.7095104,1.6944622,0.015048265
124,1.6833675,1.6671065,0.016260982
125,1.6564437,1.6391629,0.017280817
126,1.6282326,1.6104072,0.017825365
127,1.5988706,1.5806353,0.018235326
128,1.5689663,1.5500282,0.018938065
129,1.5382658,1.5192176,0.019048214
130,1.4754004,1.48789,-0.012489557
131,1.4434242,1.4245425,0.018881679
132,1.4111524,1.3922158,0.018936515
133,1.3783039,1.3598609,0.018442988
134,1.3452408,1.3270693,0.018171549
135,1.3116058,1.2942363,0.017369509
136,1.2784026,1.2609212,0.017481327
137,1.2449118,1.2282346,0.016677141
138,1.2113129,1.1954101,0.015902758
139,1.1779848,1.1625855,0.015399337
140,1.1447799,1.1301422,0.014637709
141,1.1120967,1.0980473,0.014049411
142,1.0803176,1.0666397,0.013677955
143,1.0489134,1.0364243,0.01248908
144,1.0181574,1.0069342,0.011223197
145,0.98827213,0.9783728,0.009899318
146,0.9588538,0.9510709,0.0077828765
147,0.9306035,0.9242719,0.0063316226
148,0.9032984,0.8985364,0.004761994
149,0.87716126,0.8735079,0.0036533475
150,0.85230553,0.84978,0.0025255084
151,0.82489765,0.82744396,-0.0025463104
152,0.80632406,0.79960907,0.0067149997
153,0.7853715,0.7938218,-0.008450329
154,0.60108066,2.852713,-2.2516325
155,0.60106,0.58363664,0.017423332
156,0.602743,0.5980711,0.0046719313
157,0.6051676,0.6080127,-0.002845049
158,0.6080602,0.6198708,-0.011810601
159,0.6123927,0.62021464,-0.0078219175
160,0.62263477,0.6231219,-0.00048714876
161,0.62955344,0.6337679,-0.0042144656
162,0.6375981,0.6408796,-0.003281474
163,0.64677876,0.65176105,-0.0049822927
164,0.6572035,0.6645305,-0.00732702
165,0.668951,0.67757285,-0.0086218715
166,0.68191475,0.6913679,-0.009453177
167,0.69671565,0.7062344,-0.009518743
168,0.71269,0.7229532,-0.010263205
169,0.72952706,0.74095005,-0.011422992
170,0.74783903,0.75974613,-0.011907101
171,0.7674397,0.77996284,-0.012523115
172,0.7885861,0.80149776,-0.012911677
173,0.81135803,0.82450336,-0.013145328
174,0.83508307,0.84926707,-0.014183998
175,0.8853108,0.87487596,0.010434866
176,0.9117675,0.92642397,-0.014656484
177,0.9390145,0.9539196,-0.014905095
178,0.967091,0.9819006,-0.014809549
179,0.9961185,1.0107682,-0.014649689
180,1.0265365,1.0401908,-0.013654351
181,1.0570874,1.0710357,-0.013948321
182,1.0879987,1.1016054,-0.0136066675
183,1.119847,1.1327362,-0.012889147
184,1.1517619,1.1644517,-0.012689829
185,1.1894388,1.1961693,-0.0067304373
186,1.2167041,1.2335159,-0.016811728
187,1.2491769,1.2603351,-0.011158228
188,1.2817752,1.2921801,-0.010404825
189,1.3191876,1.3241346,-0.004946947
190,1.3517226,1.3606063,-0.008883715
191,1.3837978,1.392155,-0.008357286
192,1.4103663,1.4229895,-0.012623191
193,1.4470485,1.4480926,-0.001044035
194,1.4780986,1.4832952,-0.0051965714
195,1.5032192,1.5128065,-0.009587288
196,1.5327172,1.5362246,-0.0035073757
197,1.561195,1.5640515,-0.002856493
198,1.5977523,1.5907035,0.0070488453
199,1.6153808,1.6254079,-0.01002717
200,1.6455274,1.6410803,0.0044471025
201,1.6700175,1.6693193,0.0006982088
202,1.6933924,1.6920766,0.0013158321
203,1.715213,1.7156532,-0.0004402399
204,1.732666,1.7635113,-0.030845284
205,1.7520837,1.7940177,-0.041934013
206,1.7733817,1.7703744,0.0030072927
207,1.7906332,1.7931625,-0.0025292635
208,1.8071626,1.8113463,-0.00418365
209,1.8232565,1.8264226,-0.0031660795
210,1.8392683,1.8414472,-0.0021789074
211,1.8550249,1.8573047,-0.0022797585
212,1.8710457,1.8736955,-0.002649784
213,1.8875968,1.8910323,-0.0034354925
214,1.9043703,1.9094648,-0.005094528
215,1.9218391,1.9281507,-0.006311536
216,1.9404933,1.9476259,-0.00713253
217,1.9599748,1.9682095,-0.008234739
218,1.9801586,1.9895177,-0.009359121
219,2.001498,2.0114582,-0.009960175
220,2.0236359,2.0343618,-0.010725975
221,2.0469558,2.058012,-0.011056185
222,2.0709212,2.082904,-0.011982918
223,2.100229,2.1083362,-0.008107185
224,2.121816,2.1390107,-0.017194748
225,2.1488554,2.1617265,-0.012871027
226,2.1767735,2.189922,-0.013148546
227,2.2056358,2.218638,-0.013002157
228,2.235144,2.248456,-0.013312101
229,2.2658098,2.278549,-0.0127391815
230,2.2963436,2.3099713,-0.013627768
231,2.3333452,2.3408074,-0.007462263
232,2.370621,2.3779216,-0.0073006153
233,2.3919067,2.4152932,-0.023386478
234,2.4250183,2.436333,-0.0113146305
235,2.4577923,2.469182,-0.011389732
236,2.491295,2.501442,-0.010146856
237,2.5246308,2.5345783,-0.009947538
238,2.5632482,2.5671995,-0.003951311
239,2.6015694,2.6050606,-0.0034911633
240,2.6558764,2.6424952,0.013381243
241,2.6884115,2.6957483,-0.007336855
242,2.7201679,2.7272625,-0.0070946217
243,2.7514205,2.7577608,-0.0063402653
244,2.7826445,2.7877798,-0.005135298
245,2.8125837,2.8176613,-0.0050776005
246,2.8519201,2.8460906,0.0058295727
