Time_Step,dt_seconds,Throttle_Control,Steering_Control,True_Abs_pos_x,Pred_Abs_pos_x,True_Delta_pos_x,Pred_Delta_pos_x,Abs_Error_pos_x,True_Abs_pos_y,Pred_Abs_pos_y,True_Delta_pos_y,Pred_Delta_pos_y,Abs_Error_pos_y,True_Abs_pos_z,Pred_Abs_pos_z,True_Delta_pos_z,Pred_Delta_pos_z,Abs_Error_pos_z,True_Abs_rot_0,Pred_Abs_rot_0,True_Delta_rot_0,Pred_Delta_rot_0,Abs_Error_rot_0,True_Abs_rot_1,Pred_Abs_rot_1,True_Delta_rot_1,Pred_Delta_rot_1,Abs_Error_rot_1,True_Abs_rot_2,Pred_Abs_rot_2,True_Delta_rot_2,Pred_Delta_rot_2,Abs_Error_rot_2,True_Abs_rot_3,Pred_Abs_rot_3,True_Delta_rot_3,Pred_Delta_rot_3,Abs_Error_rot_3
1,0.04,-0.07,0.19,1.63,1.6230525,0.0,-0.006947514,0.0069475174,0.19,0.18991539,0.0,-8.461269e-05,8.460879e-05,1.72,1.7239664,0.01999998,0.023966316,0.0039663315,-0.01,-0.008376893,0.0,0.0016231075,0.0016231071,-0.68,-0.67622435,-0.00999999,-0.00622436,0.0037756562,0.01,0.010989475,0.0,0.0009894749,0.0009894753,0.73,0.735203,-0.00999999,-0.004796981,0.0052030087
2,0.04,-0.07,0.19,1.62,1.6225786,-0.00999999,-0.0074214023,0.0025786161,0.19,0.1900033,0.0,3.3076867e-06,3.3080578e-06,1.74,1.7428278,0.01999998,0.02282776,0.0028277636,-0.01,-0.009682497,0.0,0.00031750303,0.00031750277,-0.69,-0.6856478,-0.00999999,-0.005647781,0.004352212,0.01,0.010270788,0.0,0.00027078838,0.00027078856,0.73,0.72375655,0.0,-0.006243483,0.0062434673
3,0.04,-0.07,0.2,1.61,1.610855,-0.00999999,-0.009145048,0.000854969,0.19,0.18995476,0.0,-4.5237815e-05,4.5239925e-05,1.76,1.7655385,0.01999998,0.0255384,0.0055384636,-0.01,-0.010297588,0.0,-0.00029758818,0.0002975883,-0.69,-0.6974338,0.0,-0.00743382,0.0074338317,0.01,0.011793898,0.0,0.001793899,0.0017938986,0.72,0.7226153,-0.00999999,-0.0073847254,0.002615273
4,0.04,-0.07,0.21,1.6,1.6006396,-0.00999999,-0.009360472,0.00063955784,0.19,0.1899604,0.0,-3.958674e-05,3.9592385e-05,1.78,1.7850018,0.01999998,0.025001759,0.0050017834,-0.01,-0.010462588,0.0,-0.00046258786,0.00046258792,-0.7,-0.6968211,-0.00999999,-0.0068210885,0.0031788945,0.01,0.011535256,0.0,0.001535256,0.0015352564,0.72,0.7129685,0.0,-0.0070315283,0.0070315003
5,0.04,-0.07,0.21,1.6,1.5900553,0.0,-0.009944648,0.009944677,0.19,0.18997924,0.0,-2.0752983e-05,2.0757318e-05,1.81,1.8041232,0.029999971,0.024123248,0.0058767796,-0.01,-0.011054675,0.0,-0.0010546752,0.0010546753,-0.7,-0.70796776,0.0,-0.007967791,0.00796777,0.01,0.010532456,0.0,0.000532457,0.0005324567,0.71,0.7123065,-0.01000005,-0.007693517,0.002306521
6,0.04,-0.07,0.22,1.59,1.5897428,-0.00999999,-0.010257288,0.00025725365,0.19,0.18998548,0.0,-1.45147815e-05,1.4513731e-05,1.83,1.8334001,0.0200001,0.023400232,0.0034000874,-0.01,-0.011088153,0.0,-0.0010881533,0.0010881536,-0.71,-0.70787215,-0.00999999,-0.007872188,0.0021278262,0.01,0.010575774,0.0,0.00057577406,0.00057577435,0.7,0.70193887,-0.00999999,-0.008061124,0.0019388795
7,0.04,-0.07,0.22,1.57,1.5794592,-0.01999998,-0.010540894,0.009459138,0.19,0.18999515,0.0,-4.8439656e-06,4.8428774e-06,1.87,1.8520042,0.03999996,0.022004137,0.017995834,-0.02,-0.011327116,-0.01,-0.0013271158,0.008672884,-0.72,-0.71765816,-0.01000005,-0.007658168,0.0023418665,0.01,0.010027626,0.0,2.7625963e-05,2.7625822e-05,0.69,0.69197994,-0.00999999,-0.008020053,0.001979947
8,0.04,-0.07,0.22,1.56,1.5593091,-0.01000011,-0.010690912,0.00069081783,0.19,0.19002064,0.0,2.0631789e-05,2.0638108e-05,1.89,1.8918567,0.01999998,0.021856703,0.0018566847,-0.01,-0.015073562,0.01,0.004926438,0.0050735623,-0.73,-0.72745526,-0.00999999,-0.0074552014,0.0025447607,0.01,0.010104706,0.0,0.00010470602,0.0001047058,0.68,0.68251055,-0.00999999,-0.007489444,0.0025105476
9,0.04,-0.07,0.22,1.55,1.5486841,-0.00999999,-0.011315831,0.0013158321,0.19,0.18994537,0.0,-5.4623462e-05,5.4627657e-05,1.91,1.9101086,0.01999998,0.020108605,0.00010859966,-0.01,-0.012724189,0.0,-0.0027241895,0.0027241893,-0.74,-0.7359685,-0.00999999,-0.0059684725,0.004031539,0.01,0.010163611,0.0,0.00016361079,0.00016361102,0.67,0.67251456,-0.00999999,-0.007485436,0.0025145411
10,0.04,-0.07,0.23,1.54,1.538213,-0.00999999,-0.01178691,0.0017869473,0.19,0.18996564,0.0,-3.4362027e-05,3.4362078e-05,1.93,1.9311796,0.01999998,0.02117966,0.0011796951,-0.01,-0.01106,0.0,-0.0010600005,0.0010600006,-0.75,-0.74698776,-0.00999999,-0.0069877356,0.00301224,0.01,0.009735412,0.0,-0.0002645879,0.0002645878,0.67,0.66225326,0.0,-0.0077467742,0.007746756
