Time Step,True rot_1,Predicted rot_1,Error
1,-0.86,-0.85781056,-0.0021894574
2,-0.86,-0.8584938,-0.0015062094
3,-0.86,-0.85880816,-0.0011918545
4,-0.85,-0.85927296,0.009272933
5,-0.85,-0.84958625,-0.00041377544
6,-0.85,-0.8492069,-0.0007930994
7,-0.85,-0.8515154,0.0015153885
8,-0.85,-0.8508886,0.00088858604
9,-0.85,-0.84916794,-0.00083208084
10,-0.85,-0.8507914,0.00079137087
11,-0.85,-0.85280263,0.0028026104
12,-0.86,-0.854504,-0.005496025
13,-0.87,-0.8667693,-0.003230691
14,-0.88,-0.8782162,-0.0017837882
15,-0.88,-0.8887024,0.008702397
16,-0.9,-0.8882117,-0.011788249
17,-0.9,-0.9064651,0.006465137
18,-0.91,-0.9060673,-0.0039327145
19,-0.91,-0.9157919,0.0057919025
20,-0.92,-0.9155738,-0.004426241
21,-0.93,-0.9261374,-0.0038626194
22,-0.93,-0.9349198,0.0049197674
23,-0.94,-0.93560904,-0.004390955
24,-0.94,-0.9451218,0.005121827
25,-0.95,-0.9446779,-0.0053220987
26,-0.95,-0.95435804,0.004358053
27,-0.96,-0.9541381,-0.0058618784
28,-0.96,-0.9647403,0.004740298
29,-0.96,-0.96426433,0.0042643547
30,-0.97,-0.9639994,-0.006000638
31,-0.97,-0.9737791,0.0037790537
32,-0.97,-0.9735413,0.0035412908
33,-0.98,-0.97235554,-0.0076444745
34,-0.98,-0.9817023,0.0017023087
35,-0.98,-0.98040164,0.0004016161
36,-0.98,-0.9793683,-0.00063169
37,-0.98,-0.97911555,-0.0008844733
38,-0.98,-0.97992724,-7.277727e-05
39,-0.98,-0.97916645,-0.00083357096
40,-0.98,-0.9793361,-0.00066393614
41,-0.98,-0.9793818,-0.0006182194
42,-0.98,-0.97938776,-0.0006122589
43,-0.98,-0.9793115,-0.00068849325
44,-0.98,-0.97927207,-0.0007279515
45,-0.98,-0.9802286,0.00022858381
46,-0.98,-0.9790791,-0.00092089176
47,-0.98,-0.9810338,0.001033783
48,-0.98,-0.9814193,0.0014193058
49,-0.98,-0.9814698,0.0014697909
50,-0.99,-0.9812447,-0.008755326
