Time Step,True rot_1,Predicted rot_1,Error
1,-0.018315582,-0.018859899,0.00054431707
2,-0.01846973,-0.019664634,0.0011949036
3,-0.016862173,-0.021914296,0.005052123
4,-0.0151000675,-0.026287064,0.0111869965
5,-0.013936018,-0.0019990364,-0.011936981
6,-0.012724081,-0.012385454,-0.00033862703
7,-0.01306366,-0.010735892,-0.0023277681
8,-0.012688285,-0.0077692745,-0.00491901
9,-0.012407906,-0.007936984,-0.004470922
10,-0.01207962,-0.008167168,-0.0039124517
11,-0.010714389,-0.0090916585,-0.0016227309
12,-0.010912914,-0.008884417,-0.002028497
13,-0.010615129,-0.010003474,-0.0006116554
14,-0.009847407,-0.00967514,-0.00017226767
15,-0.009001616,-0.008568926,-0.0004326906
16,-0.008163873,-0.0074118795,-0.0007519936
17,-0.0069670477,-0.0063489787,-0.00061806897
18,-0.0070664864,-0.0050241207,-0.0020423657
19,-0.0059260507,-0.0052074823,-0.00071856845
20,-0.005443308,-0.0043662647,-0.0010770434
21,-0.0041073575,-0.0042842813,0.00017692382
22,-0.0027575295,-0.0033147144,0.0005571849
23,-0.0016674092,-0.0022784944,0.0006110852
24,-0.00041939525,-0.0014181193,0.000998724
25,0.0005217589,-0.00045886147,0.0009806204
26,0.003008899,0.00026263652,0.0027462626
27,0.005399477,0.002581212,0.0028182652
28,0.00623939,0.0048327013,0.0014066887
29,0.0074499096,0.005545266,0.0019046436
30,0.008033561,0.0066967756,0.001336785
31,0.009161064,0.0072671724,0.001893892
32,0.01046116,0.008444011,0.0020171488
33,0.012457853,0.009901353,0.0025565
34,0.014165006,0.012160468,0.0020045377
35,0.015072199,0.014057715,0.0010144832
36,0.01595698,0.01513638,0.0008205995
37,0.016928539,0.016181089,0.0007474497
38,0.017870871,0.017341968,0.0005289037
39,0.020232148,0.01847207,0.0017600786
40,0.021945667,0.021078182,0.00086748414
41,0.022479018,0.023068856,-0.00058983825
42,0.023473732,0.023944931,-0.00047119893
43,0.024861673,0.025345394,-0.0004837215
44,0.025226291,0.027098063,-0.0018717721
45,0.02679283,0.027773898,-0.0009810682
46,0.028268741,0.029502697,-0.0012339558
47,0.029586673,0.031090692,-0.0015040189
48,0.030995999,0.032419305,-0.0014233068
49,0.033936277,0.033727903,0.00020837411
50,0.03524691,0.036260154,-0.0010132454
51,0.035193745,0.036604278,-0.0014105327
52,0.03706611,0.034180045,0.0028860644
53,0.038282406,0.028927978,0.009354427
54,-0.99923927,-1.0782437,0.07900447
55,-0.999237,-0.993634,-0.0056030154
56,-0.9992386,-1.0096666,0.010427952
57,-0.9992363,-0.9959421,-0.00329417
58,-0.99923724,-0.9987095,-0.0005277395
59,-0.999246,-0.99758124,-0.0016647577
60,-0.9992623,-0.99927545,1.31726265e-05
61,-0.99927264,-0.99978817,0.0005155206
62,-0.99927807,-1.0007014,0.0014233589
63,-0.9992816,-0.9998855,0.00060391426
64,-0.9992985,-0.99913764,-0.00016087294
65,-0.9992997,-0.99860644,-0.0006932616
66,-0.9992941,-0.9984409,-0.0008531809
67,-0.9993053,-0.9985244,-0.00078088045
68,-0.99931073,-0.9988132,-0.00049751997
69,-0.9993531,-0.9991895,-0.00016361475
70,-0.9993916,-0.99963284,0.00024122
71,-0.9994119,-1.0000845,0.0006726384
72,-0.9994123,-1.0005273,0.0011149645
73,-0.999423,-1.000846,0.0014230013
74,-0.9994453,-1.000942,0.0014966726
75,-0.9995309,-1.0009917,0.0014607906
76,-0.99952763,-1.0011575,0.001629889
77,-0.99959445,-1.0012857,0.0016912222
78,-0.9996052,-1.0014714,0.0018662214
79,-0.99959695,-1.001611,0.002014041
80,-0.99962866,-1.001758,0.0021293163
81,-0.9996178,-1.0019041,0.002286315
82,-0.9996593,-1.0020016,0.0023423433
83,-0.99967057,-1.0020995,0.0024289489
84,-0.9997002,-1.0021496,0.0024493933
85,-0.99973464,-1.0021889,0.0024542809
86,-0.9997732,-1.0022329,0.0024597049
87,-0.9997749,-1.0022342,0.0024593472
88,-0.99979764,-1.002209,0.002411306
89,-0.9997817,-1.0021356,0.0023539066
90,-0.99979824,-1.0020185,0.0022202134
91,-0.9998067,-1.001907,0.0021002889
92,-0.99981165,-1.0017712,0.0019595623
93,-0.99981177,-1.001647,0.001835227
94,-0.99982965,-1.0015153,0.0016856194
95,-0.999859,-1.001371,0.0015120506
96,-0.99984807,-1.0012196,0.0013715625
97,-0.99984723,-1.0010004,0.0011531711
98,-0.9998748,-1.0007807,0.000905931
99,-0.9999004,-1.0006095,0.00070911646
100,-0.9999152,-1.0004611,0.00054591894
101,-0.99989927,-1.0003434,0.0004441738
102,-0.99990773,-1.0002469,0.00033915043
103,-0.99991727,-1.0003921,0.0004748106
104,-0.99992096,-1.0018768,0.0019558668
105,-0.9999175,-1.007154,0.0072364807
106,-0.9999174,-1.0020635,0.0021461248
107,-0.9999121,-1.0001907,0.0002786517
108,-0.9999022,-0.99864846,-0.0012537241
109,-0.99991345,-0.99859583,-0.0013176203
110,-0.99992234,-0.99874896,-0.001173377
111,-0.9999146,-0.9986754,-0.0012391806
112,-0.9999147,-0.9963689,-0.0035458207
113,-0.99992394,-0.9939284,-0.0059955716
114,-0.99992526,-0.9917482,-0.008177042
115,-0.9999258,-0.99012744,-0.009798348
116,-0.9999114,-0.98921573,-0.010695696
117,-0.9999143,-0.9889269,-0.010987401
118,-0.99993175,-0.98925793,-0.010673821
119,-0.99992436,-0.9901379,-0.009786487
120,-0.99992216,-0.9914142,-0.008507967
121,-0.9999163,-0.9930006,-0.0069156885
122,-0.99990165,-0.9946733,-0.0052283406
123,-0.9999258,-0.99602437,-0.003901422
124,-0.99991554,-0.9968821,-0.0030334592
125,-0.9999101,-0.99770355,-0.002206564
126,-0.99991465,-0.9986643,-0.0012503266
127,-0.9999165,-0.9995962,-0.00032031536
128,-0.9999033,-1.0004047,0.0005013943
129,-0.9998866,-1.0010258,0.0011392236
130,-0.99987453,-1.0014842,0.0016096234
131,-0.9998527,-1.0018129,0.001960218
132,-0.99986285,-1.0019848,0.002121985
133,-0.9998632,-1.0020815,0.002218306
134,-0.9998662,-1.0020896,0.002223432
135,-0.99982166,-1.0020199,0.0021982193
136,-0.9998388,-1.0019282,0.0020893812
137,-0.9998205,-1.0017936,0.0019731522
138,-0.99981993,-1.001653,0.0018330216
139,-0.9998156,-1.0014845,0.00166893
140,-0.99982214,-1.0012943,0.0014721155
141,-0.99979675,-1.0010359,0.0012391806
142,-0.9998083,-1.000719,0.00091063976
143,-0.99979967,-1.0002812,0.00048154593
144,-0.99978936,-0.99975,-3.9339066e-05
