Time Step,True pos_y,Predicted pos_y,Error
1,0.18,0.17978865,0.00021135807
2,0.18,0.17979047,0.00020954013
3,0.18,0.1797761,0.00022390485
4,0.18,0.17975432,0.00024569035
5,0.18,0.17970356,0.0002964437
6,0.18,0.17961387,0.0003861338
7,0.18,0.17934752,0.00065249205
8,0.17,0.17859572,-0.00859572
9,0.17,0.17068385,-0.0006838441
10,0.17,0.17015272,-0.000152722
11,0.17,0.16982748,0.00017252564
12,0.17,0.16983134,0.00016866624
13,0.17,0.16988018,0.00011982024
14,0.17,0.16995989,4.0113926e-05
15,0.17,0.16997074,2.926588e-05
16,0.17,0.16994546,5.453825e-05
17,0.17,0.16992043,7.95722e-05
18,0.17,0.1699015,9.8496675e-05
19,0.17,0.1698481,0.00015190244
20,0.17,0.16983454,0.0001654625
21,0.17,0.16985233,0.00014767051
22,0.17,0.16986588,0.00013412535
23,0.17,0.16992196,7.803738e-05
24,0.17,0.16988918,0.000110819936
25,0.17,0.16990127,9.8735094e-05
26,0.17,0.16990557,9.442866e-05
27,0.17,0.16990061,9.9390745e-05
28,0.17,0.16989388,0.00010612607
29,0.17,0.16983624,0.00016376376
30,0.17,0.16990574,9.4264746e-05
31,0.17,0.16991183,8.817017e-05
32,0.17,0.16990757,9.24319e-05
33,0.17,0.16990532,9.468198e-05
34,0.17,0.16995938,4.0620565e-05
35,0.17,0.16991483,8.517504e-05
36,0.17,0.16992487,7.5131655e-05
37,0.17,0.1699059,9.410083e-05
38,0.17,0.16989735,0.0001026541
39,0.17,0.16986737,0.00013263524
40,0.17,0.16996051,3.9488077e-05
41,0.17,0.16990307,9.693205e-05
42,0.17,0.16990086,9.9137425e-05
43,0.17,0.16991523,8.4772706e-05
44,0.17,0.16991007,8.992851e-05
45,0.17,0.16991267,8.7335706e-05
46,0.17,0.16985895,0.00014105439
47,0.17,0.1699005,9.949505e-05
48,0.17,0.16983443,0.0001655668
49,0.17,0.1698819,0.0001181066
50,0.17,0.16987601,0.00012399256
51,0.17,0.16985388,0.00014612079
52,0.17,0.16987829,0.000121712685
53,0.17,0.16989657,0.00010342896
54,0.17,0.16989245,0.00010755658
55,0.17,0.16989578,0.00010421872
56,0.17,0.16989554,0.00010445714
57,0.17,0.16990146,9.854138e-05
58,0.17,0.16990608,9.392202e-05
59,0.17,0.16990754,9.2461705e-05
60,0.17,0.16990559,9.441376e-05
61,0.17,0.16990022,9.9778175e-05
62,0.17,0.16989969,0.00010031462
63,0.17,0.16989829,0.000101715326
64,0.17,0.16990395,9.6052885e-05
65,0.17,0.16990332,9.6678734e-05
66,0.17,0.16990742,9.2580914e-05
67,0.17,0.16991407,8.5935e-05
68,0.17,0.16992098,7.902086e-05
69,0.17,0.16996908,3.091991e-05
70,0.17,0.16996802,3.1977892e-05
71,0.17,0.16995662,4.337728e-05
72,0.17,0.1699657,3.4302473e-05
73,0.17,0.1700011,-1.1026859e-06
74,0.17,0.17003219,-3.2186508e-05
75,0.17,0.17004533,-4.5329332e-05
76,0.17,0.1700483,-4.8294663e-05
77,0.17,0.17004143,-4.1425228e-05
78,0.17,0.1700517,-5.169213e-05
79,0.17,0.17007051,-7.0512295e-05
80,0.17,0.17006949,-6.9484115e-05
81,0.17,0.17008905,-8.904934e-05
82,0.17,0.17009605,-9.6052885e-05
83,0.17,0.17012148,-0.000121474266
84,0.17,0.17013042,-0.00013041496
85,0.17,0.17013943,-0.00013943017
86,0.17,0.17014337,-0.00014336407
87,0.17,0.17015283,-0.00015282631
88,0.17,0.1702468,-0.00024679303
89,0.17,0.17067088,-0.0006708801
90,0.18,0.17139421,0.008605793
91,0.18,0.17914462,0.00085538626
92,0.18,0.18009453,-9.4518065e-05
93,0.18,0.1799421,5.7905912e-05
94,0.18,0.18015483,-0.00015482306
95,0.18,0.18003722,-3.72082e-05
96,0.18,0.1799976,2.413988e-06
97,0.18,0.17990652,9.3489885e-05
98,0.18,0.17997798,2.2023916e-05
99,0.18,0.17998697,1.3038516e-05
100,0.18,0.18001305,-1.3038516e-05
101,0.18,0.17999643,3.5762787e-06
102,0.18,0.18004212,-4.211068e-05
103,0.18,0.18007383,-7.382035e-05
104,0.18,0.1800217,-2.169609e-05
105,0.18,0.17995854,4.146993e-05
106,0.18,0.18000144,-1.4305115e-06
107,0.18,0.17999807,1.937151e-06
108,0.18,0.17996128,3.8728118e-05
109,0.18,0.17996037,3.963709e-05
110,0.18,0.18001544,-1.5437603e-05
111,0.18,0.18003087,-3.0860305e-05
112,0.18,0.17993654,6.3464046e-05
113,0.18,0.17998922,1.0788441e-05
114,0.18,0.17995138,4.862249e-05
115,0.18,0.18001606,-1.604855e-05
116,0.18,0.17990702,9.2983246e-05
117,0.18,0.18001454,-1.4528632e-05
118,0.18,0.18004534,-4.5329332e-05
