Time Step,True rot_3,Predicted rot_3,Error
1,-0.51,-0.51313436,0.0031343699
2,-0.52,-0.5115882,-0.008411765
3,-0.52,-0.520478,0.00047802925
4,-0.52,-0.51993144,-6.854534e-05
5,-0.52,-0.5196936,-0.00030636787
6,-0.52,-0.5196069,-0.00039309263
7,-0.52,-0.5199622,-3.7789345e-05
8,-0.52,-0.5213251,0.0013251305
9,-0.52,-0.52032477,0.0003247857
10,-0.52,-0.51956284,-0.00043714046
11,-0.53,-0.5180426,-0.011957347
12,-0.52,-0.5248865,0.004886508
13,-0.51,-0.51180464,0.0018046498
14,-0.5,-0.499513,-0.00048699975
15,-0.48,-0.4880313,0.008031309
16,-0.47,-0.467183,-0.002817005
17,-0.44,-0.45659167,0.016591668
18,-0.43,-0.4255586,-0.0044414103
19,-0.42,-0.4159401,-0.004059881
20,-0.4,-0.4049369,0.0049369037
21,-0.39,-0.3848734,-0.0051265955
22,-0.38,-0.37531966,-0.0046803355
23,-0.36,-0.3650741,0.005074084
24,-0.35,-0.3463561,-0.0036439002
25,-0.33,-0.3351632,0.0051631927
26,-0.32,-0.31603038,-0.0039696097
27,-0.31,-0.30631107,-0.0036889315
28,-0.3,-0.2961823,-0.0038177073
29,-0.28,-0.28669986,0.00669986
30,-0.27,-0.2668456,-0.003154397
31,-0.26,-0.25658816,-0.0034118295
32,-0.25,-0.2464357,-0.0035642982
33,-0.23,-0.2364341,0.006434098
34,-0.22,-0.21461889,-0.0053811073
35,-0.21,-0.20818265,-0.0018173456
36,-0.2,-0.20221302,0.0022130162
37,-0.2,-0.19538438,-0.00461562
38,-0.2,-0.19751602,-0.0024839789
39,-0.2,-0.198879,-0.0011209995
40,-0.2,-0.19911762,-0.00088238716
41,-0.2,-0.19949405,-0.000505954
42,-0.2,-0.1998182,-0.00018180907
43,-0.2,-0.19986452,-0.00013548136
44,-0.2,-0.19974402,-0.00025598705
45,-0.2,-0.19969873,-0.00030127168
46,-0.2,-0.19965775,-0.00034224987
47,-0.2,-0.19749841,-0.002501592
48,-0.2,-0.19550093,-0.004499078
49,-0.19,-0.19280614,0.002806142
50,-0.18,-0.1807367,0.0007366985
51,-0.17,-0.16945066,-0.0005493462
52,-0.15,-0.15824203,0.008242026
53,-0.15,-0.13723208,-0.012767926
54,-0.14,-0.13639341,-0.0036065876
55,-0.13,-0.12562156,-0.004378438
56,-0.12,-0.1149404,-0.0050596
57,-0.11,-0.1041956,-0.005804397
58,-0.09,-0.09310201,0.0031020045
59,-0.07,-0.07193183,0.0019318312
60,-0.06,-0.050654527,-0.009345472
61,-0.04,-0.03966775,-0.00033224747
62,-0.02,-0.01908863,-0.0009113699
63,-0.0,0.0012314916,-0.0012314916
64,0.01,0.021226648,-0.011226648
65,0.03,0.031169798,-0.0011697989
66,0.05,0.051007,-0.0010069981
67,0.09,0.07080157,0.019198433
68,0.12,0.110581025,0.009418972
69,0.14,0.13831925,0.0016807467
70,0.16,0.15624602,0.003753975
71,0.17,0.17362292,-0.0036229193
72,0.17,0.18144737,-0.01144737
73,0.18,0.18003367,-3.3661723e-05
74,0.19,0.18927148,0.00072851777
75,0.2,0.19891348,0.0010865182
76,0.21,0.20852455,0.0014754385
77,0.22,0.21808252,0.0019174814
78,0.23,0.22766338,0.0023366213
79,0.23,0.23694092,-0.006940916
80,0.24,0.23621954,0.0037804544
81,0.25,0.24557441,0.0044255853
82,0.26,0.25514805,0.0048519373
83,0.26,0.26486054,-0.00486055
84,0.27,0.26520157,0.004798442
85,0.27,0.27557677,-0.0055767596
86,0.28,0.27607238,0.0039276183
87,0.29,0.286506,0.0034939945
88,0.3,0.2970571,0.0029429197
89,0.31,0.30830514,0.0016948581
90,0.35,0.31939405,0.030605942
91,0.36,0.3570771,0.0029229224
92,0.38,0.37118062,0.008819371
93,0.39,0.39216724,-0.0021672547
94,0.4,0.403623,-0.0036230087
95,0.42,0.41357625,0.0064237416
96,0.45,0.43340087,0.016599119
97,0.46,0.4615254,-0.0015254021
98,0.47,0.47317064,-0.0031706393
99,0.49,0.48220304,0.007796973
100,0.5,0.5008114,-0.00081139803
101,0.51,0.51040155,-0.0004015565
102,0.52,0.5220311,-0.0020311475
103,0.54,0.531123,0.008877039
104,0.55,0.54886466,0.0011353493
105,0.56,0.5593869,0.0006130934
106,0.57,0.5711546,-0.0011546016
107,0.58,0.57884574,0.001154244
108,0.59,0.588841,0.0011589527
109,0.6,0.5987118,0.0012882352
110,0.6,0.61018646,-0.010186434
111,0.61,0.609836,0.00016403198
112,0.62,0.617351,0.0026490092
113,0.63,0.62903255,0.000967443
114,0.64,0.63895154,0.0010484457
115,0.65,0.64986324,0.00013673306
116,0.66,0.6574559,0.002544105
117,0.68,0.6697946,0.010205388
118,0.7,0.68959856,0.010401428
119,0.7,0.70956224,-0.009562254
120,0.71,0.70945793,0.00054204464
121,0.72,0.71919304,0.0008069873
122,0.73,0.7286913,0.0013087392
123,0.73,0.73830444,-0.008304417
124,0.74,0.73469424,0.005305767
125,0.75,0.7468776,0.0031223893
126,0.75,0.75697726,-0.00697726
127,0.76,0.7573987,0.002601266
128,0.77,0.76694524,0.003054738
129,0.77,0.77685535,-0.0068553686
130,0.78,0.77701503,0.002984941
131,0.79,0.78828037,0.0017196536
132,0.8,0.7967193,0.0032806993
133,0.8,0.80646247,-0.006462455
134,0.82,0.806555,0.01344502
135,0.83,0.827662,0.0023379922
136,0.83,0.8376454,-0.007645428
137,0.84,0.83754605,0.0024539232
138,0.85,0.8475235,0.0024765134
139,0.86,0.85753393,0.0024660826
140,0.86,0.8675219,-0.0075218678
141,0.87,0.8675423,0.0024576783
142,0.88,0.87732726,0.0026727319
143,0.88,0.8872477,-0.0072476864
144,0.89,0.8871178,0.0028821826
145,0.89,0.89670527,-0.006705284
146,0.9,0.89610654,0.003893435
147,0.9,0.9053779,-0.0053779483
148,0.91,0.904712,0.005288005
149,0.91,0.91424173,-0.004241705
150,0.91,0.913995,-0.0039950013
151,0.92,0.91100806,0.008991957
152,0.92,0.91590476,0.0040952563
153,0.92,0.91305673,0.0069432855
154,0.91,0.9120107,-0.002010703
155,0.9,0.9011334,-0.0011334419
156,0.88,0.89108557,-0.01108557
157,0.87,0.87111104,-0.0011110306
158,0.85,0.8605816,-0.010581553
159,0.84,0.83999765,2.3245811e-06
160,0.82,0.83003366,-0.010033667
161,0.81,0.8114435,-0.0014435053
162,0.8,0.8028574,-0.002857387
163,0.79,0.79597265,-0.005972624
164,0.79,0.7882483,0.0017517209
165,0.79,0.78923494,0.0007650852
166,0.79,0.78990227,9.775162e-05
167,0.79,0.7908086,-0.0008085966
168,0.79,0.79353297,-0.003532946
169,0.79,0.7967338,-0.006733775
170,0.8,0.8001518,-0.00015181303
171,0.81,0.8122834,-0.0022833943
172,0.83,0.82332,0.0066800117
173,0.84,0.84376776,-0.0037677884
174,0.85,0.85389507,-0.0038950443
175,0.86,0.8636028,-0.0036028028
176,0.87,0.87231416,-0.0023141503
177,0.88,0.87945706,0.0005429387
178,0.89,0.8861352,0.0038647652
179,0.89,0.8919078,-0.0019078255
180,0.89,0.88832444,0.0016755462
181,0.89,0.8890077,0.0009922981
182,0.89,0.88811237,0.0018876195
183,0.88,0.88853127,-0.008531272
184,0.88,0.8788319,0.0011680722
185,0.88,0.87896174,0.0010382533
186,0.88,0.87900305,0.0009969473
187,0.88,0.8789751,0.0010249019
188,0.88,0.8789459,0.0010541081
189,0.88,0.87892807,0.0010719299
190,0.88,0.8788484,0.0011516213
191,0.88,0.8788239,0.0011761189
192,0.88,0.878833,0.0011669993
193,0.88,0.8787963,0.0012037158
194,0.88,0.87877524,0.0012247562
195,0.88,0.8793263,0.0006737113
196,0.88,0.8800304,-3.0398369e-05
197,0.88,0.88026345,-0.00026345253
198,0.88,0.8807283,-0.00072830915
199,0.89,0.882461,0.0075389743
200,0.89,0.8921927,-0.0021927357
201,0.9,0.8925799,0.007420063
202,0.9,0.904213,-0.004213035
203,0.91,0.90558416,0.0044158697
204,0.92,0.91740555,0.002594471
205,0.92,0.9285525,-0.008552492
206,0.93,0.9286228,0.0013772249
207,0.94,0.9384653,0.0015347004
