Time Step,True pos_z,Predicted pos_z,Error
1,1.654421,1.6637305,-0.00930953
2,1.6746893,1.6844268,-0.009737492
3,1.695634,1.7058827,-0.010248661
4,1.7180363,1.7279371,-0.009900808
5,1.741315,1.7518035,-0.01048851
6,1.7651007,1.7763932,-0.011292458
7,1.7900631,1.8012962,-0.011233091
8,1.815841,1.8269787,-0.011137724
9,1.8423018,1.8533924,-0.011090517
10,1.8701475,1.8803773,-0.010229826
11,1.8983532,1.9089388,-0.0105855465
12,1.9276849,1.9371783,-0.009493351
13,1.9576151,1.9667336,-0.009118438
14,1.9884014,1.9966102,-0.008208752
15,2.0194345,2.027648,-0.00821352
16,2.0560312,2.0589445,-0.0029132366
17,2.082699,2.0954857,-0.012786627
18,2.1148088,2.1221097,-0.0073008537
19,2.147347,2.1539445,-0.006597519
20,2.1795726,2.1850727,-0.005500078
21,2.2119377,2.2156553,-0.003717661
22,2.2443085,2.2464287,-0.0021202564
23,2.2766488,2.2775533,-0.0009045601
24,2.31368,2.3091273,0.004552603
25,2.3402588,2.3453526,-0.005093813
26,2.371438,2.371449,-1.0967255e-05
27,2.407244,2.4011688,0.006075144
28,2.4323988,2.4354615,-0.003062725
29,2.4662004,2.4594805,0.0067198277
30,2.4946692,2.4922519,0.002417326
31,2.5221794,2.5201814,0.0019979477
32,2.548918,2.5469909,0.0019271374
33,2.5744543,2.5732307,0.0012235641
34,2.5991333,2.5988245,0.00030875206
35,2.622186,2.625862,-0.0036759377
36,2.6442919,2.6555605,-0.011268616
37,2.6684191,2.7145247,-0.046105623
38,3.2034974,2.8205562,0.38294125
39,3.2034266,3.2131536,-0.009727001
40,3.2017312,3.2121265,-0.0103952885
41,3.2001762,3.2110128,-0.010836601
42,3.197452,3.2063549,-0.008902788
43,3.194214,3.1998513,-0.005637169
44,3.190799,3.1918287,-0.0010297298
45,3.1846435,3.1829405,0.0017030239
46,3.1778996,3.1716864,0.006213188
47,3.1698515,3.160925,0.00892663
48,3.1602871,3.15006,0.010227203
49,3.149355,3.1389544,0.010400534
50,3.1371913,3.126604,0.010587215
51,3.1236663,3.1131787,0.010487556
52,3.1087325,3.0980551,0.010677338
53,3.0924268,3.0815897,0.010837078
54,3.0745215,3.0639498,0.010571718
55,3.0549242,3.0448513,0.010072947
56,3.0340693,3.0241466,0.009922743
57,3.0118687,3.002325,0.009543657
58,2.987944,2.979398,0.008545876
59,2.937026,2.9547954,-0.017769337
60,2.90994,2.9035583,0.00638175
61,2.8820317,2.8762028,0.0058288574
62,2.852925,2.848012,0.0049130917
63,2.823071,2.8185916,0.0044794083
64,2.7927804,2.7885787,0.0042016506
65,2.7614977,2.7580485,0.0034492016
66,2.7245343,2.7264779,-0.0019435883
67,2.6976123,2.689228,0.008384228
68,2.6649973,2.6622934,0.002703905
69,2.6320794,2.6297817,0.0022976398
70,2.5994635,2.597172,0.002291441
71,2.565963,2.5649307,0.0010323524
72,2.5330853,2.5316916,0.001393795
73,2.5001836,2.4993806,0.0008029938
74,2.4671435,2.4669836,0.00015997887
75,2.4344103,2.434532,-0.000121593475
76,2.4020545,2.4025667,-0.0005121231
77,2.370365,2.3710427,-0.000677824
78,2.3393962,2.3401785,-0.00078225136
79,2.3093753,2.3100824,-0.0007071495
80,2.2799015,2.281309,-0.0014073849
81,2.251256,2.253179,-0.0019230843
82,2.2235308,2.2264264,-0.0028955936
83,2.1967523,2.2010252,-0.004272938
84,2.1706545,2.1770597,-0.006405115
85,2.1417162,2.153751,-0.012034655
